timestamp,range_gt,range_ot,range_var_ot,mh,x_gt,y_gt,z_gt,x_ot,y_ot,z_ot,x_obs,y_obs,z_obs
0.0,6.073101971450006,6.0864492995394555,0.17953189782076606,0.3497670996784591,9.943055770949584,0.11641319080202948,4.995252086534728,10.056814474547279,0.0070689577135487625,5.041536588170695,9.430972823886721,-5.934665664151297,5.064413507096248
0.10000000000002274,6.370960746877061,6.117550742616322,0.2245195188596938,1.09210709844857,9.926901382629138,0.4323244748308849,4.988497515696805,10.084526719922872,-0.02831632333159227,5.155392776399599,9.432545614523203,-5.918525012082482,5.095567620585715
0.19999999999998863,6.370569617775123,6.117550742616322,0.2245195188596938,0.8167954153287502,9.926901382629138,0.4323244748308849,4.988497515696805,10.07022052712803,0.007643469784498888,5.215919427138614,9.434811664516946,-5.918308654558075,5.095566746361511
0.30000000000001137,6.38184729941087,6.117550742616322,0.2245195188596938,1.0407653995244293,9.926660903412758,0.4436549866990816,4.988431754330858,10.067435478444096,-0.017510123831650404,5.215245031292865,9.434811664516946,-5.918308654558075,5.095566746361511
0.39999999999997726,6.381434559630534,6.117550742616322,0.2245195188596938,1.1090042899638606,9.926660903412758,0.4436549866990816,4.988431754330858,10.066523445759964,-0.025097297769033133,5.215047408997124,9.437070221066255,-5.918069207506433,5.095545149695899
0.5,6.3870889692483654,6.117550742616322,0.2245195188596938,1.005780108663756,9.926540168751522,0.4493355920147592,4.988396699209667,10.020516362288395,-0.05598375201767299,5.00530654871392,9.437070221066255,-5.918069207506433,5.095545149695899
0.6000000000000227,6.3870889692483654,6.117550742616322,0.2245195188596938,1.0211403388113556,9.926540168751522,0.4493355920147592,4.988396699209667,9.924600656510643,-0.004256834848554547,5.038229854037577,9.437070221066255,-5.918069207506433,5.095545149695899
0.6999999999999886,6.3870889692483654,6.117550742616322,0.2245195188596938,0.9098200551067438,9.926540168751522,0.4493355920147592,4.988396699209667,9.931101045285816,0.06305049577344679,5.037701530781137,9.437070221066255,-5.918069207506433,5.095545149695899
0.8000000000000114,6.391860477310139,6.117550742616322,0.2245195188596938,0.8276840467750982,9.926419100891255,0.4550235353337472,4.988360241583237,10.081623018936675,-0.017240428035380673,5.092423755091226,9.441566203294949,-5.917521583265406,5.095443109073698
0.8999999999999773,6.391860477310139,6.117550742616322,0.2245195188596938,0.9731822586414764,9.926419100891255,0.4550235353337472,4.988360241583237,10.081689454465058,0.05587827848433946,5.109090513255938,9.441566203294949,-5.917521583265406,5.095443109073698
1.0,6.41304590161431,6.221230404180499,0.20306007106535162,0.7248979202594382,9.925931342359615,0.4778040864069711,4.988198145375397,10.019466250977485,0.17181072853551616,5.0351955611903145,9.448266235029205,-5.916533473002756,5.095160558274374
1.1000000000000227,6.477337666095522,6.241259318465368,0.18581516466440462,0.8006362171065423,9.924304667766766,0.5506739312834004,4.987555707564962,9.929799021012753,0.21163288282160675,5.041839869355323,9.477303558446106,-5.910362765258747,5.092903013280985
1.1999999999999886,6.529466097751082,6.317110908050936,0.18112045906465823,0.7473082551456541,9.922762839380916,0.61335558861261,4.986876807370437,9.892538846533999,0.3012380803830119,5.031310485243894,9.507711643922445,-5.902090063921819,5.089968881262888
1.3000000000000114,6.578158251630349,6.3907122307572175,0.179757024271197,0.6878487217972845,9.921078646974385,0.6732504945876262,4.98605882840947,9.884539332610668,0.38782057692020455,5.025157002581872,9.5374980949584,-5.892939357377759,5.086968548230444
1.3999999999999773,6.611918358387851,6.44665885527909,0.17819250695876576,0.6608008323108278,9.919503734008135,0.7201405173983976,4.985515541168139,9.888096357016195,0.4470241294053521,5.024356643306439,9.567894499752047,-5.881692874004537,5.083654200876534
1.5,6.633110688225603,6.508975726197789,0.19441975059777405,0.601993578374238,9.917854536930104,0.7593634679536184,4.985448092329619,10.031133587491153,0.5248329504920406,5.008359840773139,9.598173991078317,-5.865376636545137,5.079151340418806
1.6000000000000227,6.64787384316887,6.553943002858635,0.18301378666535584,0.5590702842787445,9.915895265041332,0.7950284925228636,4.98575930367696,10.035482695498278,0.578392324658699,5.007789925746638,9.620075202980177,-5.845666638915041,5.0745584977492255
1.6999999999999886,6.6529308695393885,6.546425096579182,0.179935918289317,0.4944407625198162,9.913835169961109,0.8241467868201243,4.986260889549574,9.908055633535835,0.6168254491576679,5.011818595265002,9.63445074617655,-5.822387746412264,5.069999752486699
1.8000000000000114,6.655358255576731,6.545923169112367,0.1793597034525618,0.4977900890102713,9.911275305769847,0.8545081200865686,4.986987802086808,9.885667898033919,0.6487010554313271,5.018984568406569,9.642443800049321,-5.794956812553875,5.065341112102448
1.8999999999999773,6.657890745723226,6.56776285360163,0.17920379425072497,0.4611411448548715,9.908408284607813,0.8861986584089092,4.987781809570248,9.874532693611954,0.6990982032668454,5.025874953998221,9.646545659814674,-5.766137045449606,5.061040467029019
2.0,6.659311364119143,6.560242953774155,0.1779468501373458,0.5148206003196093,9.90555993097713,0.918175840337037,4.988310417188072,9.874841026159393,0.7069535557431417,5.025811021959868,9.652279744378891,-5.735962687352789,5.056994081017259
2.1000000000000227,6.665014242645903,6.578140939297708,0.17933508063248382,0.5040304630900804,9.9025670392133,0.9534666018471785,4.988514866312698,9.876337678307808,0.7458926844955318,5.025564775053345,9.661601709912379,-5.706875527130493,5.053270481612201
2.1999999999999886,6.67329928598372,6.600231831777641,0.18200845080627914,0.5046861538653489,9.899163977255137,0.995405890192724,4.98850406674912,9.877807912971209,0.7866198083081981,5.025344485234743,9.675893921896234,-5.6738831098968205,5.0489860969355425
