timestamp,range_uwb,variance
0.040000000000020464,6.1277313232421875,0.22
0.13999999999998636,6.0554986000061035,0.22
0.2400000000000091,6.067448616027832,0.22
0.34000000000003183,6.056778907775879,0.22
0.4399999999999977,6.065104007720947,0.22
0.5400000000000205,6.185247898101807,0.22
0.6399999999999864,6.0401611328125,0.22
0.7400000000000091,6.216371536254883,0.22
0.8400000000000318,6.344390869140625,0.22
0.9399999999999977,6.271860599517822,0.22
1.0400000000000205,6.414433002471924,0.22
1.1399999999999864,6.491397857666016,0.22
1.240000000000009,6.5234832763671875,0.22
1.3400000000000318,6.61799430847168,0.22
1.4399999999999977,6.6244354248046875,0.22
1.5400000000000205,6.597695350646973,0.22
1.6399999999999864,6.600371360778809,0.22
1.740000000000009,6.645040035247803,0.22
1.8400000000000318,6.585384845733643,0.22
1.9399999999999977,6.6486334800720215,0.22
2.0400000000000205,6.671194076538086,0.22
2.1399999999999864,6.62590217590332,0.22
2.240000000000009,6.698266983032227,0.22
2.340000000000032,6.657481670379639,0.22
2.4399999999999977,6.72719669342041,0.22
2.5400000000000205,6.721331596374512,0.22
2.6399999999999864,6.640579700469971,0.22
2.740000000000009,6.776321887969971,0.22
2.840000000000032,6.772129058837891,0.22
2.9399999999999977,6.724013328552246,0.22
3.0400000000000205,6.7187042236328125,0.22
3.1399999999999864,6.676418781280518,0.22
3.240000000000009,6.674827575683594,0.22
3.340000000000032,6.6683573722839355,0.22
3.4399999999999977,6.688596725463867,0.22
3.5400000000000205,6.8161091804504395,0.22
3.6399999999999864,6.744396209716797,0.22
3.740000000000009,6.714652061462402,0.22
3.840000000000032,6.690179347991943,0.22
3.9399999999999977,6.748410701751709,0.22
4.0400000000000205,6.752852439880371,0.22
4.139999999999986,6.730834007263184,0.22
4.240000000000009,6.743100643157959,0.22
4.340000000000032,6.722270488739014,0.22
4.439999999999998,6.734321594238281,0.22
4.5400000000000205,6.785053253173828,0.22
4.639999999999986,6.721692085266113,0.22
4.740000000000009,6.632835865020752,0.22
4.840000000000032,6.790353298187256,0.22
4.939999999999998,6.709039211273193,0.22
5.0400000000000205,6.7594828605651855,0.22
5.139999999999986,6.724255084991455,0.22
5.240000000000009,6.703520774841309,0.22
5.340000000000032,6.784965515136719,0.22
5.439999999999998,6.830521106719971,0.22
5.5400000000000205,6.790981292724609,0.22
5.639999999999986,6.775020122528076,0.22
5.740000000000009,6.865077495574951,0.22
5.840000000000032,6.713094234466553,0.22
5.939999999999998,6.705984592437744,0.22
6.0400000000000205,6.683740615844727,0.22
6.139999999999986,6.746513843536377,0.22
6.240000000000009,6.688679218292236,0.22
6.340000000000032,6.762354373931885,0.22
6.439999999999998,6.771333694458008,0.22
6.5400000000000205,6.716439723968506,0.22
6.639999999999986,6.739658355712891,0.22
6.740000000000009,6.672936916351318,0.22
6.840000000000032,6.692666053771973,0.22
6.939999999999998,6.728187561035156,0.22
7.0400000000000205,6.681105613708496,0.22
7.139999999999986,6.650691509246826,0.22
7.240000000000009,6.712541103363037,0.22
7.340000000000032,6.74532413482666,0.22
7.439999999999998,6.737963676452637,0.22
7.5400000000000205,6.756359577178955,0.22
7.639999999999986,6.7374114990234375,0.22
7.740000000000009,6.810054779052734,0.22
7.840000000000032,6.676644802093506,0.22
7.939999999999998,6.705471038818359,0.22
8.04000000000002,6.8029608726501465,0.22
8.139999999999986,6.735654354095459,0.22
8.240000000000009,6.769757270812988,0.22
8.340000000000032,6.88163423538208,0.22
8.439999999999998,6.78743314743042,0.22
8.54000000000002,6.789999485015869,0.22
8.639999999999986,6.8103508949279785,0.22
8.740000000000009,6.804617404937744,0.22
8.840000000000032,6.780435085296631,0.22
8.939999999999998,6.839960098266602,0.22
9.04000000000002,6.821810245513916,0.22
9.139999999999986,6.938512802124023,0.22
9.240000000000009,6.76531982421875,0.22
9.340000000000032,6.907676696777344,0.22
9.439999999999998,6.952087879180908,0.22
9.54000000000002,6.976303577423096,0.22
9.639999999999986,6.874232769012451,0.22
9.740000000000009,6.840968608856201,0.22
9.840000000000032,6.987770080566406,0.22
9.939999999999998,6.9485182762146,0.22
10.04000000000002,6.914339065551758,0.22
10.139999999999986,6.896322727203369,0.22
10.240000000000009,6.973880767822266,0.22
10.340000000000032,6.958674430847168,0.22
10.444000000000017,6.945503234863281,0.22
10.54000000000002,6.979125499725342,0.22
10.639999999999986,6.942911624908447,0.22
10.740000000000009,6.988389492034912,0.22
10.840000000000032,6.942174911499023,0.22
10.939999999999998,6.922057151794434,0.22
11.04000000000002,6.982663154602051,0.22
11.139999999999986,6.98561954498291,0.22
11.240000000000009,6.88001012802124,0.22
11.340000000000032,6.9250168800354,0.22
11.439999999999998,6.998123645782471,0.22
11.54000000000002,6.945413589477539,0.22
11.639999999999986,6.961131572723389,0.22
11.740000000000009,7.0201416015625,0.22
11.840000000000032,7.01361083984375,0.22
11.939999999999998,7.062375068664551,0.22
12.04000000000002,6.94113302230835,0.22
12.139999999999986,6.946386337280273,0.22
12.240000000000009,6.96074914932251,0.22
12.340000000000032,6.943089962005615,0.22
12.439999999999998,6.958529472351074,0.22
12.54000000000002,6.871813774108887,0.22
12.639999999999986,6.9705071449279785,0.22
12.740000000000009,6.881173133850098,0.22
12.840000000000032,6.950736999511719,0.22
12.939999999999998,6.931509017944336,0.22
13.04000000000002,6.946533203125,0.22
13.139999999999986,6.96520471572876,0.22
13.240000000000009,6.905869960784912,0.22
13.340000000000032,6.927267074584961,0.22
13.439999999999998,6.8805060386657715,0.22
13.54000000000002,6.951681613922119,0.22
