timestamp,range_uwb,variance
0.06399999999985084,6.001203536987305,0.22
0.16400000000021464,5.993130683898926,0.22
0.2640000000001237,6.053411483764648,0.22
0.36400000000003274,6.050807476043701,0.22
0.4639999999999418,6.068944931030273,0.22
0.5639999999998508,6.181297302246094,0.22
0.6640000000002146,6.3245768547058105,0.22
0.7640000000001237,6.2359747886657715,0.22
0.8640000000000327,6.2313232421875,0.22
0.9639999999999418,6.342129230499268,0.22
1.0639999999998508,6.424450874328613,0.22
1.1640000000002146,6.542636394500732,0.22
1.2640000000001237,6.617439270019531,0.22
1.3640000000000327,6.53666353225708,0.22
1.4639999999999418,6.617812633514404,0.22
1.5639999999998508,6.720152378082275,0.22
1.6640000000002146,6.67622184753418,0.22
1.7640000000001237,6.75325870513916,0.22
1.8640000000000327,6.772367000579834,0.22
1.9639999999999418,6.662855625152588,0.22
2.063999999999851,6.810281753540039,0.22
2.1640000000002146,6.678824424743652,0.22
2.2640000000001237,6.749693393707275,0.22
2.3640000000000327,6.710522174835205,0.22
2.463999999999942,6.660207271575928,0.22
2.563999999999851,6.8126220703125,0.22
2.6640000000002146,6.800180912017822,0.22
2.7640000000001237,6.761542797088623,0.22
2.8640000000000327,6.913736343383789,0.22
2.963999999999942,6.780396938323975,0.22
3.063999999999851,6.890224933624268,0.22
3.1640000000002146,6.832162380218506,0.22
3.2640000000001237,6.813971519470215,0.22
3.3640000000000327,6.866733551025391,0.22
3.463999999999942,6.812603950500488,0.22
3.563999999999851,6.8406291007995605,0.22
3.6640000000002146,6.85175085067749,0.22
3.7640000000001237,6.840740203857422,0.22
3.8640000000000327,6.793760776519775,0.22
3.963999999999942,6.753623962402344,0.22
4.063999999999851,6.760244369506836,0.22
4.164000000000215,6.859207630157471,0.22
4.264000000000124,6.719362258911133,0.22
4.364000000000033,6.579392433166504,0.22
4.463999999999942,6.731934070587158,0.22
4.563999999999851,6.574794769287109,0.22
4.664000000000215,6.648009777069092,0.22
4.764000000000124,6.607891082763672,0.22
4.864000000000033,6.689779758453369,0.22
4.963999999999942,6.629773139953613,0.22
5.063999999999851,6.682550430297852,0.22
5.164000000000215,6.756158351898193,0.22
5.264000000000124,6.722693920135498,0.22
5.364000000000033,6.664297580718994,0.22
5.463999999999942,6.606478691101074,0.22
5.563999999999851,6.674686908721924,0.22
5.664000000000215,6.737049102783203,0.22
5.764000000000124,6.661159038543701,0.22
5.864000000000033,6.737082481384277,0.22
5.963999999999942,6.703867435455322,0.22
6.063999999999851,6.808051109313965,0.22
6.164000000000215,6.68178653717041,0.22
6.264000000000124,6.824704170227051,0.22
6.364000000000033,6.756622791290283,0.22
6.463999999999942,6.728235244750977,0.22
6.563999999999851,6.7558064460754395,0.22
6.664000000000215,6.821993827819824,0.22
6.764000000000124,6.7447829246521,0.22
6.864000000000033,6.781625270843506,0.22
6.963999999999942,6.710872173309326,0.22
7.063999999999851,6.781141757965088,0.22
7.164000000000215,6.818808555603027,0.22
7.264000000000124,6.810855388641357,0.22
7.364000000000033,6.717434883117676,0.22
7.463999999999942,6.7284836769104,0.22
7.563999999999851,6.771909236907959,0.22
7.664000000000215,6.699365615844727,0.22
7.764000000000124,6.684513092041016,0.22
7.864000000000033,6.743967533111572,0.22
7.963999999999942,6.782116413116455,0.22
8.06399999999985,6.73275899887085,0.22
8.164000000000215,6.711249351501465,0.22
8.264000000000124,6.742847919464111,0.22
8.364000000000033,6.771833419799805,0.22
8.463999999999942,6.759408950805664,0.22
8.56399999999985,6.698441982269287,0.22
8.664000000000215,6.658404350280762,0.22
8.764000000000124,6.729817867279053,0.22
8.864000000000033,6.753742218017578,0.22
8.963999999999942,6.688451766967773,0.22
9.06399999999985,6.786567211151123,0.22
9.164000000000215,6.74204158782959,0.22
9.264000000000124,6.80483865737915,0.22
9.364000000000033,6.724564075469971,0.22
9.463999999999942,6.648063659667969,0.22
9.56399999999985,6.743654251098633,0.22
9.664000000000215,6.7011919021606445,0.22
9.764000000000124,6.682032585144043,0.22
9.864000000000033,6.698397159576416,0.22
